text,clean_text,processed_text,emojis,label,app,language
"mudah sekali, masa pun jimat",mudah sekali masa pun jimat,mudah jimat,,positive,Touch n Go eWallet,ms
can't find the name of klinik that's I wanted,cant find the name of klinik thats i wanted,cant find name klinik that want,,neutral,MySejahtera,en
sobrang pricey na ng pamasahe ng grab jusko. overpriced. 🥹😭😭,sobrang pricey na ng pamasahe ng grab jusko overpriced,sobrang pricey na ng pamasah ng grab jusko overpr,🥹😭,negative,Grab,en
saya nak tukar no fon baru ..tapi sulit nak buat..boleh bagi tahu saya macam mana nak buat..fon lama saya hilang kena curi,saya nak tukar no fon baru tapi sulit nak buatboleh bagi tahu saya macam mana nak buatfon lama saya hilang kena curi,nak tukar no fon sulit nak buatboleh nak buatfon hilang curi,,negative,MySejahtera,ms
one man show,one man show,one man show,,neutral,Touch n Go eWallet,en
"Touch nGo eWallet provides a convenient cashless payment solution. Transactions are quick, secure, and suitable for daily use.",touch ngo ewallet provides a convenient cashless payment solution transactions are quick secure and suitable for daily use,touch ngo ewallet provid conveni cashless payment solut transact quick secur suitabl daili use,,positive,Touch n Go eWallet,en
annoying when promotion pop up first when open app,annoying when promotion pop up first when open app,annoy promot pop first open app,,neutral,Touch n Go eWallet,en
grab ni sangat berguna tetapi saya rasa sedikit terasa sedih la juga sebab separuh driver minta duit lebih time saya mau kosong tu lah diorang minta tambah 😔,grab ni sangat berguna tetapi saya rasa sedikit terasa sedih la juga sebab separuh driver minta duit lebih time saya mau kosong tu lah diorang minta tambah,grab guna sedih la paruh driver duit time kosong orang,😔,neutral,Grab,ms
trouble with connection of my payment card but otherwise a great app,trouble with connection of my payment card but otherwise a great app,troubl connect payment card otherwis great app,,positive,Grab,en
always lock me out whenever i receive funds from top up n transfer .. inconcenient .. embarrasing as well especially while making payment,always lock me out whenever i receive funds from top up n transfer inconcenient embarrasing as well especially while making payment,alway lock whenev receiv fund top transfer inconceni embarras well especi make payment,,negative,Touch n Go eWallet,en
the tng card balance is not updated,the tng card balance is not updated,tng card balanc not updat,,neutral,Touch n Go eWallet,en
"Kenapa saya tidak dapat mengakses bahagian temujanji di aplikasi mysejahtera, billa tekan diminta untuk verified account tapi dapat notis sudah verified melalui akaun sekian2..tapi bahagian temujanji tetap tidak boleh akses",kenapa saya tidak dapat mengakses bahagian temujanji di aplikasi mysejahtera billa tekan diminta untuk verified account tapi dapat notis sudah verified melalui akaun sekian tapi bahagian temujanji tetap tidak boleh akses,tidak mengaks bahagian temujanji aplikasi mysejahtera billa tekan verifi account noti verifi akaun sekian bahagian temujanji tidak aks,,neutral,MySejahtera,en
verry good . is easy,verry good is easy,verry good easy,,positive,Grab,ms
very fast and responsive,very fast and responsive,fast respons,,positive,Touch n Go eWallet,en
tidak boleh guna pon app ni.... loading je...,tidak boleh guna pon app ni loading je,tidak pon app load,,negative,MySejahtera,en
🥴tak boleh bukak,tak boleh bukak,tak bukak,🥴,neutral,MySejahtera,ms
okay tak ada masalah.,okay tak ada masalah,okay tak,,neutral,Grab,ms
good drive safe,good drive safe,good drive safe,,neutral,Grab,en
Love using touch n go app. Secure fast and easy to use. But they have cancelled the auto reload from Debit cards i.e if your e wallet balance is low it will deduct from your debit card to fulfil the payment. Which was convenient specially at tolls.,love using touch n go app secure fast and easy to use but they have cancelled the auto reload from debit cards ie if your e wallet balance is low it will deduct from your debit card to fulfil the payment which was convenient specially at tolls,love use touch go app secur fast easi use cancel auto reload debit card ie wallet balanc low deduct debit card fulfil payment conveni special toll,,neutral,Touch n Go eWallet,en
kenapa sistem madani sekarang menyusahkan rakyat? mysejahtera tak boleh nak update number baru ? buat banyak kali pun macam tu juga apa2 appointment mesti nak kena guna mysejahtera bad service maaf cakap ye 👎🏻👎🏻👎🏻,kenapa sistem madani sekarang menyusahkan rakyat mysejahtera tak boleh nak update number baru buat banyak kali pun macam tu juga apa appointment mesti nak kena guna mysejahtera bad service maaf cakap ye,sistem madani susah rakyat mysejahtera tak nak update number appointment mesti nak mysejahtera bad service maaf cakap ye,👎🏻,negative,MySejahtera,ms
"TNG Ewallet crashed every time I opened it, causing even my system UI to stop working forcing a restart. I use Realme C53",tng ewallet crashed every time i opened it causing even my system ui to stop working forcing a restart i use realme c,tng ewallet crash everi time open caus even system ui stop work forc restart use realm,,neutral,Touch n Go eWallet,en
saya punya akaun pun tak boleh buka dah lah duit saya ada dalam tu,saya punya akaun pun tak boleh buka dah lah duit saya ada dalam tu,akaun tak buka dah duit,,negative,Touch n Go eWallet,ms
information and investment...,information and investment,information investment,,positive,MySejahtera,ms
kenapa mysejahtera dah tak boleh nak download ?,kenapa mysejahtera dah tak boleh nak download,mysejahtera dah tak nak download,,neutral,MySejahtera,ms
Kenapa lama sangat pengesahan ni aduh jem jem🙂,kenapa lama sangat pengesahan ni aduh jem jem,kesah aduh jem jem,🙂,neutral,MySejahtera,ms
unable to update latest apps version for model samsung z fold5,unable to update latest apps version for model samsung z fold,unabl updat latest app version model samsung fold,,negative,MySejahtera,en
"saya dah kemaskini mysejahtera, kenapa tak boleh tengok bahagian profile",saya dah kemaskini mysejahtera kenapa tak boleh tengok bahagian profile,dah kemaskini mysejahtera tak tengok bahagian profile,,negative,MySejahtera,ms
"Saya di sini untuk meminta tolong... Kembalikan kredit untuk topup ""CELCOME""😭 saya sedang sulit nak topup internet celcome untuk teruskan monthly internet",saya di sini untuk meminta tolong kembalikan kredit untuk topup celcome saya sedang sulit nak topup internet celcome untuk teruskan monthly internet,tolong kembali kredit topup celcome sulit nak topup internet celcome terus monthly internet,😭,neutral,Grab,ms
"i hope they would add a feature to cancel your order, when the order is not yet accepted by the driver. coz that would be more effective for customers, to cancel their orders instead of messaging the drivers themselves and 😐",i hope they would add a feature to cancel your order when the order is not yet accepted by the driver coz that would be more effective for customers to cancel their orders instead of messaging the drivers themselves and,hope would add featur cancel order order not yet accept driver coz would effect custom cancel order instead messag driver,😐,neutral,Grab,en
MURUGAMAH A/P MUNIANDY,murugamah ap muniandy,murugamah ap muniandy,,positive,MySejahtera,ms
grab letak location jalan salah :/,grab letak location jalan salah,grab letak locat jalan salah,,neutral,Grab,en
"after update, with new ux, now it is not easy to find icon to reload tng..you just spam us with lot of rubbish..im wonder what type of programmer or web designer u hire..almost zero knowledge in user exp..fix this!!!",after update with new ux now it is not easy to find icon to reload tngyou just spam us with lot of rubbishim wonder what type of programmer or web designer u hirealmost zero knowledge in user expfix this,updat new ux not easi find icon reload tngyou spam us lot rubbishim wonder type programm web design hirealmost zero knowledg user expfix,,negative,Touch n Go eWallet,en
I can't use,i cant use,cant use,,negative,MySejahtera,en
after everything solve the review will came in. At the moment it's quite good experience,after everything solve the review will came in at the moment its quite good experience,everyth solv review came moment quit good experi,,positive,Touch n Go eWallet,en
pulih tng saya ...susah n transfer duit,pulih tng saya susah n transfer duit,pulih tng susah transfer duit,,negative,Touch n Go eWallet,ms
Ada apps da bagus da. Tp sistem tk updated. Vacine dah amik tkde rekod. Lab test tak masuk. Belum cerita pasal booking system. Nak booking xde slot. Bila call klinik ada je kosong. Tak sycronize langsung.,ada apps da bagus da tp sistem tk updated vacine dah amik tkde rekod lab test tak masuk belum cerita pasal booking system nak booking xde slot bila call klinik ada je kosong tak sycronize langsung,app da bagus da tp sistem tk updat vacin dah amik tkde rekod lab test tak belum cerita pasal book system nak book xde slot call klinik kosong tak sycron,,negative,MySejahtera,en
I can't find my vaccination card,i cant find my vaccination card,cant find vaccin card,,neutral,MySejahtera,en
"would give 5 stars if you can implement the same feature as foodpanda. after choosing Ur food, there's a feature to input ur special instructions. It was upsetting when i first used grab after foodpanda.",would give stars if you can implement the same feature as foodpanda after choosing ur food theres a feature to input ur special instructions it was upsetting when i first used grab after foodpanda,would give star implement featur foodpanda choos ur food there featur input ur special instruct upset first use grab foodpanda,,positive,Grab,en
grab ok...tapi harga makin mahal..sedangkan dekat jer .melampau kadang2..tolonglah turun kan harga sikit...dekat jer pun!!!bukan nk g jauh...makin mahal!!!,grab oktapi harga makin mahalsedangkan dekat jer melampau kadang tolonglah turun kan harga sikitdekat jer punbukan nk g jauhmakin mahal,grab oktapi harga mahalsedangkan jer lampau kadang tolong turun harga sikitdekat jer punbukan nk jauhmakin mahal,,negative,Grab,ms
"Look, can you not make a nearest drop point for pickup? I've been using it for like a long time, and pickup places like 10 -15 minutes walk just for me to call for a Grab driver. Don't make it the nearest point for pickup, just point where I am.",look can you not make a nearest drop point for pickup ive been using it for like a long time and pickup places like minutes walk just for me to call for a grab driver dont make it the nearest point for pickup just point where i am,look not make nearest drop point pickup ive use like long time pickup place like minut walk call grab driver dont make nearest point pickup point,,negative,Grab,en
All foreigners are awere from grab taxi drivers. In Phuket i book a ride from patong to chalong in 280 Bath where i was going to see the dolphin show. When I was reached at my destination i gave 200 bath to the drive of car No. 1316 then because i have no 80 bath change in my wallet i gave him again 1000 Bath and ask him to return my 920 my back in mean time he close his car window and ran away from stop. I shouted and run back to him. And i also call him on him cell phn no. Mention on Grab app,all foreigners are awere from grab taxi drivers in phuket i book a ride from patong to chalong in bath where i was going to see the dolphin show when i was reached at my destination i gave bath to the drive of car no then because i have no bath change in my wallet i gave him again bath and ask him to return my my back in mean time he close his car window and ran away from stop i shouted and run back to him and i also call him on him cell phn no mention on grab app,foreign awer grab taxi driver phuket book ride patong chalong bath go see dolphin show reach destin gave bath drive car no no bath chang wallet gave bath ask return back mean time close car window ran away stop shout run back also call cell phn no mention grab app,,negative,Grab,en
I've no problem with GRAB SERVICES so far! overall is good! but the application ask me and need to UPGRADES time over the times..again n again! in fact there's not much change into the application after I get the upgrade! wasting my prestige time and my prestige internal memory of my phone!!! it sucks!,ive no problem with grab services so far overall is good but the application ask me and need to upgrades time over the timesagain n again in fact theres not much change into the application after i get the upgrade wasting my prestige time and my prestige internal memory of my phone it sucks,ive no problem grab servic far overal good applic ask need upgrad time timesagain fact there not much chang applic get upgrad wast prestig time prestig intern memori phone suck,,negative,Grab,en
ya sanggat baik,ya sanggat baik,sanggat,,positive,Grab,ms
good taxi service,good taxi service,good taxi servic,,positive,Grab,en
why quick payment and auto reload is unavailable?? when fix that problem?,why quick payment and auto reload is unavailable when fix that problem,quick payment auto reload unavail fix problem,,negative,Touch n Go eWallet,en
saya baru mula,saya baru mula,,,neutral,Touch n Go eWallet,ms
cara membuat tempahan awal??,cara membuat tempahan awal,tempah,,positive,MySejahtera,ms
ok laaa bagus lain kali upgrade lama supaya semua bank boleh dapat,ok la bagus lain kali upgrade lama supaya semua bank boleh dapat,ok la bagus upgrad bank,,positive,Touch n Go eWallet,en
Susah sangat nk tgk rekod kesihatan...dah kemaskini pun tetap xboleh tengok,susah sangat nk tgk rekod kesihatandah kemaskini pun tetap xboleh tengok,susah nk tgk rekod kesihatandah kemaskini xboleh tengok,,negative,MySejahtera,ms
akaun lama tak ada lagi sebab dh tukar nombor telefon.nak buat akaun baru tak dapat macam mana nak buat akaun baru.,akaun lama tak ada lagi sebab dh tukar nombor telefonnak buat akaun baru tak dapat macam mana nak buat akaun baru,akaun tak dh tukar nombor telefonnak akaun tak nak akaun,,negative,Touch n Go eWallet,ms
i love this App,i love this app,love app,,positive,MySejahtera,en
"harga berpatutan, driver juga mesra dan ramah.",harga berpatutan driver juga mesra dan ramah,harga patut driver mesra ramah,,neutral,Grab,ms
Saya amat meyukainya,saya amat meyukainya,meyukainya,,positive,MySejahtera,ms
"Janan susahkan guna biometric atau passcode. mysejahtera untuk kesihatan, pakcik makcik terpaksa buat passcode untuk mysejahtera, makin menyusahkan mereka bila guna telefon",janan susahkan guna biometric atau passcode mysejahtera untuk kesihatan pakcik makcik terpaksa buat passcode untuk mysejahtera makin menyusahkan mereka bila guna telefon,janan susahkan biometr passcod mysejahtera kesihatan pakcik makcik terpaksa passcod mysejahtera menyusahkan telefon,,negative,MySejahtera,en
tak boleh nak book appointment. tak keluar pun nearest klinik yg available .keluar yg kat KL punya. kita duduk pahang,tak boleh nak book appointment tak keluar pun nearest klinik yg available keluar yg kat kl punya kita duduk pahang,tak nak book appoint tak nearest klinik yg avail yg kat kl duduk pahang,,negative,MySejahtera,en
Klau murah sikit lagi bgus,klau murah sikit lagi bgus,klau murah sikit bgus,,neutral,Grab,ms
"bodoh la korang ni,sial betul aku betul betul kecemasan nak bayar rumah sewa,so aku beli lah pin tng,tp lansung tak boleh hantar,ehh ikut suka kitorang lah nak buat apa dengan duit kitorang,yg korang ni memandai pula tak bagi transfer,ibarat korang mencuri duit pelanggan sial,dah masuk dalam apps korang lps tu korang pula yg atur kan apa yg boleh dan apa yg tak boleh dengan duit org??apa la bodoh sngt,dah kenapa pula aku beli pin tng dgn sampah ke bodoh?aku beli dgn duit hasil titik peluh aku,",bodoh la korang nisial betul aku betul betul kecemasan nak bayar rumah sewaso aku beli lah pin tngtp lansung tak boleh hantarehh ikut suka kitorang lah nak buat apa dengan duit kitorangyg korang ni memandai pula tak bagi transferibarat korang mencuri duit pelanggan sialdah masuk dalam apps korang lps tu korang pula yg atur kan apa yg boleh dan apa yg tak boleh dengan duit orgapa la bodoh sngtdah kenapa pula aku beli pin tng dgn sampah ke bodohaku beli dgn duit hasil titik peluh aku,bodoh la korang nisial cemas nak bayar rumah sewaso beli pin tngtp lansung tak hantarehh suka kitorang nak duit kitorangyg korang mandai tak transferibarat korang curi duit langgan sialdah apps korang lps korang yg atur yg yg tak duit orgapa la bodoh sngtdah beli pin tng dgn sampah bodohaku beli dgn duit hasil titik peluh,,negative,Touch n Go eWallet,ms
best mudh jimat,best mudh jimat,best mudh jimat,,positive,Touch n Go eWallet,ms
so easy and so helpful for me,so easy and so helpful for me,easi help,,positive,Touch n Go eWallet,en
kenapa harga greb tak sesuai kadang mahal,kenapa harga greb tak sesuai kadang mahal,harga greb tak sesuai kadang mahal,,negative,Grab,ms
awesome. fast and reliable keep it up,awesome fast and reliable keep it up,awesom fast reliabl keep,,positive,Touch n Go eWallet,en
The app was improved by a long mile since it was first introduced. the thing lacking was the security similar to banking sector level of security.,the app was improved by a long mile since it was first introduced the thing lacking was the security similar to banking sector level of security,app improv long mile sinc first introduc thing lack secur similar bank sector level secur,,positive,Touch n Go eWallet,en
Terbaik dan mantap,terbaik dan mantap,baik mantap,,positive,MySejahtera,ms
Best juga offers grab food ni,best juga offers grab food ni,best offer grab food,,positive,Grab,en
mycampion macam mana ni ok,mycampion macam mana ni ok,mycampion ok,,neutral,MySejahtera,ms
poor help support service,poor help support service,poor help support servic,,negative,Grab,en
meyusah org..cari sijil vaksin tak jumpa jumpa.,meyusah orgcari sijil vaksin tak jumpa jumpa,meyusah orgcari sijil vaksin tak jumpa jumpa,,negative,MySejahtera,ms
"Saya buat akaun recovery .Akaun saya dah disahkan dan tidak dapat dipulihkan juga walaupun menggunakan nombor yang dah dikemaskini, dan emel yg sama.",saya buat akaun recovery akaun saya dah disahkan dan tidak dapat dipulihkan juga walaupun menggunakan nombor yang dah dikemaskini dan emel yg sama,akaun recovery akaun dah sah tidak pulih nombor dah dikemaskini emel yg,,negative,Touch n Go eWallet,ms
"Cant refresh my profile, the date remain in 2022...pla fix the bug thks",cant refresh my profile the date remain in pla fix the bug thks,cant refresh profil date remain pla fix bug thks,,negative,MySejahtera,en
May I know where's the blood donor's info?,may i know wheres the blood donors info,may know where blood donor info,,neutral,MySejahtera,en
sebelum siapkan order pastikan betul jangan main ambik jer tapi salah,sebelum siapkan order pastikan betul jangan main ambik jer tapi salah,siap order pasti jangan main ambik jer salah,,negative,Grab,ms
"No good. 2nd incident. I wanted to fill RM55. I opened Caltexgo to check my Budi to ""Pump & Pay"" using TnG paying RM111.11 Maybe I picked up the pump too early due to my son distracting me, and no petrol came out. I had to come out with another RM50 cash to fill my car up. I think Shell has a better fool proof system.",no good nd incident i wanted to fill rm i opened caltexgo to check my budi to pump pay using tng paying rm maybe i picked up the pump too early due to my son distracting me and no petrol came out i had to come out with another rm cash to fill my car up i think shell has a better fool proof system,no good nd incid want fill rm open caltexgo check budi pump pay use tng pay rm mayb pick pump earli due son distract no petrol came come anoth rm cash fill car think shell better fool proof system,,neutral,Touch n Go eWallet,en
best service this app,best service this app,best servic app,,positive,Grab,en
ikut peraturan jln raya dgn betul dan grab bawa hati2 semasa memandu dan bersopan santun bila bercakap,ikut peraturan jln raya dgn betul dan grab bawa hati semasa memandu dan bersopan santun bila bercakap,atur jln raya dgn grab bawa hati pandu sopan santun cakap,,positive,Grab,ms
Terbaik untuk saya selesaikan semua masalah.sangat senang.,terbaik untuk saya selesaikan semua masalahsangat senang,baik selesai masalahsangat senang,,positive,MySejahtera,ms
Macam mana cara nak kemaskini emel baru?..saya sudah tidak pakai emel sebelum nya,macam mana cara nak kemaskini emel barusaya sudah tidak pakai emel sebelum nya,nak kemaskini emel barusaya tidak pakai emel,,negative,MySejahtera,ms
great and easy,great and easy,great easi,,positive,Touch n Go eWallet,en
"sebelum ni guna grab ni ok je, cepat dan harga pun sesuai.....tapi sekarang harga tetap rm5 , bila dah oder pemandu call naik kan tambang rm10 . tiada kejujuran.. sebelum ni guna grab harga tetap rm9. sekarang harga tetap kadang rm5 boleh naik sampai 9 dan 10 kadang ada sampai 13😮‍💨",sebelum ni guna grab ni ok je cepat dan harga pun sesuaitapi sekarang harga tetap rm bila dah oder pemandu call naik kan tambang rm tiada kejujuran sebelum ni guna grab harga tetap rm sekarang harga tetap kadang rm boleh naik sampai dan kadang ada sampai,grab ok cepat harga sesuaitapi harga rm dah oder pandu call tambang rm tiada jujur grab harga rm harga kadang rm kadang,😮‍💨,neutral,Grab,ms
i have been using more touchngo since last year and it have been really convenience using it. it merge many service on one app,i have been using more touchngo since last year and it have been really convenience using it it merge many service on one app,use touchngo sinc last year realli conveni use merg mani servic one app,,positive,Touch n Go eWallet,en
"Grab memang senang dapat bila kita booking tetapi,tiada mata ganjaran atau poin kita dapat,tak best dah,harap perbaiki supaya harga berpatutan lah utk pengguna grab",grab memang senang dapat bila kita booking tetapitiada mata ganjaran atau poin kita dapattak best dahharap perbaiki supaya harga berpatutan lah utk pengguna grab,grab senang booking tetapitiada ganjar poin dapattak best dahharap baik harga patut utk guna grab,,negative,Grab,ms
"makin update new version makin teruk, especially need to click on the ""Reward"" , forever load non stop even using WiFi. 😓😓 pls improve the web bandwidth",makin update new version makin teruk especially need to click on the reward forever load non stop even using wifi pls improve the web bandwidth,updat new version teruk especi need click reward forev load non stop even use wifi pls improv web bandwidth,😓,negative,Touch n Go eWallet,en
saya sangat gembira kerana dengan pas grab dapat memudahkan orang,saya sangat gembira kerana dengan pas grab dapat memudahkan orang,gembira rana pas grab mudah,,positive,Grab,ms
Kenapa Selepas kemas kini sijil jadi hitam putih pula,kenapa selepas kemas kini sijil jadi hitam putih pula,lepas kemas sijil hitam putih,,negative,MySejahtera,ms
Ianya akan dapat membantu nanti,ianya akan dapat membantu nanti,ianya bantu,,positive,Touch n Go eWallet,ms
please make dark mode version,please make dark mode version,pleas make dark mode version,,neutral,Touch n Go eWallet,en
grab harga sangat mahal,grab harga sangat mahal,grab harga mahal,,negative,Grab,ms
"kurang puaskan, sebab akaun baru sudah buat, tapi dia pusingkan akaun yang lama, dah sampai sini jelah saya guna TNG ini😠😠😠",kurang puaskan sebab akaun baru sudah buat tapi dia pusingkan akaun yang lama dah sampai sini jelah saya guna tng ini,puas akaun pusing akaun dah jelah tng,😠,negative,Touch n Go eWallet,ms
"Very user friendly. It helps me quickly check my future appointments. I can also self check in at home then just arrive at the clinic half an hour before the appointment time. Excellent! However, the notification and history are not updated in time.",very user friendly it helps me quickly check my future appointments i can also self check in at home then just arrive at the clinic half an hour before the appointment time excellent however the notification and history are not updated in time,user friend help quick check futur appoint also self check home arriv clinic half hour appoint time excel howev notif histori not updat time,,positive,MySejahtera,en
I couldn't find my blood donation records,i couldnt find my blood donation records,couldnt find blood donat record,,neutral,MySejahtera,en
It's great for booking an appointment but the QR code scanner from the apps doesn't work well on my phone so I have to manually scan the QR outside the app 🫩,its great for booking an appointment but the qr code scanner from the apps doesnt work well on my phone so i have to manually scan the qr outside the app,great book appoint qr code scanner app doesnt work well phone manual scan qr outsid app,🫩,neutral,MySejahtera,en
terbaik senang bayaran bil elektrik,terbaik senang bayaran bil elektrik,baik senang bayar bil elektrik,,positive,Touch n Go eWallet,ms
sangat membantu ni,sangat membantu ni,bantu,,positive,Grab,ms
mudah dan cepat...senang nak pergi ke mana sahaja,mudah dan cepatsenang nak pergi ke mana sahaja,mudah cepatsenang nak pergi sahaja,,positive,Grab,ms
tq... alright 👌,tq alright,tq alright,👌,positive,Touch n Go eWallet,en
To many notifications,to many notifications,mani notif,,neutral,Grab,en
"pesen makan order placed nya lama banget, mau dicancel gak bisa.. masa harus nunggu sejam dulu baru bisa dicancel..",pesen makan order placed nya lama banget mau dicancel gak bisa masa harus nunggu sejam dulu baru bisa dicancel,pesen makan order place banget dicancel gak nunggu sejam dicancel,,neutral,Grab,en
Just for transaction purpose. Rewards and point collected is not attractive.,just for transaction purpose rewards and point collected is not attractive,transact purpos reward point collect not attract,,negative,Touch n Go eWallet,en
"I can't log out of the application. When I want to log out, nothing comes out and I see that my husband's number is still there to log in even though we have separated the way to log in using our respective emails. Then there are several displays that don't show anything, it's blank and I want to log out and try to log in using my own ID, it doesn't give any response. I've uninstalled and reinstalled this application several times but when I want to open the account information section it keeps",i cant log out of the application when i want to log out nothing comes out and i see that my husbands number is still there to log in even though we have separated the way to log in using our respective emails then there are several displays that dont show anything its blank and i want to log out and try to log in using my own id it doesnt give any response ive uninstalled and reinstalled this application several times but when i want to open the account information section it keeps,cant log applic want log noth come see husband number still log even though separ way log use respect email sever display dont show anyth blank want log tri log use id doesnt give respons ive uninstal reinstal applic sever time want open account inform section keep,,neutral,MySejahtera,en
sometimes the facilities health not appear and all appointment are not available to book,sometimes the facilities health not appear and all appointment are not available to book,sometim facil health not appear appoint not avail book,,negative,MySejahtera,en
"With this new updated app, I can't find my covid 19 vaccination record. Is it available in this updated apps.",with this new updated app i cant find my covid vaccination record is it available in this updated apps,new updat app cant find covid vaccin record avail updat app,,neutral,MySejahtera,en
masuk kan aplikasi yang tidak mau kena langgan lepas tu kena pay direct tiba tiba,masuk kan aplikasi yang tidak mau kena langgan lepas tu kena pay direct tiba tiba,aplikasi tidak langgan lepas pay direct,,negative,Touch n Go eWallet,ms
Apa yang ko dh buat? Mana history Data medication aku🤦🏻‍♂️ orng nk buat rujukan ko pegi buang pula,apa yang ko dh buat mana history data medication aku orng nk buat rujukan ko pegi buang pula,ko dh histori data medic orng nk rujukan ko pegi buang,🤦🏻‍♂️,neutral,MySejahtera,en
Soo good ❤️😘😍😘😊👍,soo good,soo good,😍😊😘👍❤️,positive,MySejahtera,en
tak boleh nk book oppiment,tak boleh nk book oppiment,tak nk book oppiment,,negative,MySejahtera,ms
"nice app, helpful and simple",nice app helpful and simple,nice app help simpl,,positive,Grab,en
यहां अप डिलीवरी के लिए बहुत बढ़िया ऐप है मैंने इसे उसे किया और मुझे बहुत अच्छालगा 😇*,यहां अप डिलीवरी के लिए बहुत बढ़िया ऐप है मैंने इसे उसे किया और मुझे बहुत अच्छालगा,अप ऐप और,😇,positive,Grab,en
Easy to remember it.,easy to remember it,easi rememb,,neutral,MySejahtera,en
Fast rides and deliveries with clear pricing. Smooth and reliable,fast rides and deliveries with clear pricing smooth and reliable,fast ride deliveri clear price smooth reliabl,,positive,Grab,en
"penggunaan grab memang terbaik dan berbaloi, senang dan Ok.",penggunaan grab memang terbaik dan berbaloi senang dan ok,guna grab baik berbaloi senang ok,,positive,Grab,ms
Becareful always follow the official guidelines to verify is it got malware or malicious apps .,becareful always follow the official guidelines to verify is it got malware or malicious apps,becar alway follow offici guidelin verifi got malwar malici app,,neutral,Touch n Go eWallet,en
it x log in or work efficiently.,it x log in or work efficiently,log work effici,,negative,Touch n Go eWallet,en
"After the previous update, the app took forever to load",after the previous update the app took forever to load,previous updat app took forev load,,negative,Touch n Go eWallet,en
"after so long not open this app since pkp (covid) , now I open it 😁😄",after so long not open this app since pkp covid now i open it,long not open app sinc pkp covid open,😄😁,neutral,MySejahtera,en
My Grab for the airport was good on the streets one charged me 100 for a 33 priced ride and when I was coming home the grab driver tried to charge me 150.00 for the same 33.00 ride 👎🏾,my grab for the airport was good on the streets one charged me for a priced ride and when i was coming home the grab driver tried to charge me for the same ride,grab airport good street one charg price ride come home grab driver tri charg ride,👎🏾,negative,Grab,en
"Apps buffering took a shorter time before BUDI95, please look into this as it really affects payment speed.",apps buffering took a shorter time before budi please look into this as it really affects payment speed,app buffer took shorter time budi pleas look realli affect payment speed,,negative,Touch n Go eWallet,en
wow it's very nice 👍,wow its very nice,wow nice,👍,positive,Grab,en
"Grab sekarang banyak mahallllllll gile,,dia masih jauh pun dia ambik,,nnti kalau dah tak ada penumpang cam texi baru tau",grab sekarang banyak mahal giledia masih jauh pun dia ambiknnti kalau dah tak ada penumpang cam texi baru tau,grab mahal giledia ambiknnti dah tak tumpang cam texi tau,,neutral,Grab,ms
over all the service was fine until it came into a refund issue it has been one weeks almost two weeks and still amount money inside my account still remain the same,over all the service was fine until it came into a refund issue it has been one weeks almost two weeks and still amount money inside my account still remain the same,servic fine came refund issu one week almost two week still amount money insid account still remain,,negative,Touch n Go eWallet,en
kenapa makin lama makin slow server dia,kenapa makin lama makin slow server dia,slow server,,negative,Touch n Go eWallet,en
